timestamp,session_id,total_games,games_won,games_lost,win_rate_percent,max_score,max_tile,total_moves,avg_moves_per_game,avg_ai_latency,avg_game_time,total_ai_suggestions,games_2,games_8,games_32,games_128,games_512,games_1024,games_2048,command_args
2025-09-02 22:43:50,20250902_224350_batch36,5,5,0,100.0,20188,2048,4672,934.4,0.068,63.78,4672,0,0,0,0,0,0,5,"batch=36, games_in_batch=5"
2025-09-02 22:45:07,20250902_224507_batch37,5,5,0,100.0,20220,2048,4765,953.0,0.07,66.74,4765,0,0,0,0,0,0,5,"batch=37, games_in_batch=5"
2025-09-02 22:46:14,20250902_224614_batch38,5,5,0,100.0,21236,2048,4902,980.4,0.065,64.03,4902,0,0,0,0,0,0,5,"batch=38, games_in_batch=5"
2025-09-02 22:47:22,20250902_224722_batch39,5,4,1,80.0,20196,2048,4733,946.6,0.068,63.93,4733,0,0,0,0,0,1,4,"batch=39, games_in_batch=5"
2025-09-02 22:48:28,20250902_224828_batch40,5,4,1,80.0,20328,2048,4745,949.0,0.066,63.01,4745,0,0,0,0,0,1,4,"batch=40, games_in_batch=5"
2025-09-02 22:49:41,20250902_224941_batch41,5,4,1,80.0,21036,2048,4906,981.2,0.069,67.35,4906,0,0,0,0,0,1,4,"batch=41, games_in_batch=5"
2025-09-02 22:50:49,20250902_225049_batch42,5,5,0,100.0,20600,2048,4814,962.8,0.067,64.92,4814,0,0,0,0,0,0,5,"batch=42, games_in_batch=5"
2025-09-02 22:51:59,20250902_225159_batch43,5,5,0,100.0,21336,2048,4889,977.8,0.066,64.73,4889,0,0,0,0,0,0,5,"batch=43, games_in_batch=5"
2025-09-02 22:53:08,20250902_225308_batch44,5,4,1,80.0,20796,2048,4920,984.0,0.064,62.76,4920,0,0,0,0,0,1,4,"batch=44, games_in_batch=5"
2025-09-02 22:54:22,20250902_225422_batch45,5,5,0,100.0,20212,2048,4759,951.8,0.073,69.44,4759,0,0,0,0,0,0,5,"batch=45, games_in_batch=5"
2025-09-02 22:55:34,20250902_225534_batch46,5,5,0,100.0,20596,2048,4807,961.4,0.066,63.8,4807,0,0,0,0,0,0,5,"batch=46, games_in_batch=5"
